Timestamp,Data Operator Initials,Q1,Q2,Q3,Q4,Q5(a),Q5(b),Q5(c),Q6,Q7,Q8,Q9,Q10(a),Q10(b),Q10(c),Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27
9/15/2024 9:36:51,YA,1,2,8,2,0,0,8,2,2,2,4,8,8,8,2,0,4,5 Online mass,2,2,8,3,2,5,9,0,0,2,0,3,
9/15/2024 9:37:55,KL,1,5,7 Singing group for Mass,3,7,8,7,1,1,1,"1,2,3,4,5",9,9,9,1,5,4,"1,4",2,2,9,3,2,4,"10, Latin AMerican",4,2,1,Edgeware,1,It will be great to increase Spanish Mass more times per month
9/15/2024 9:39:41,YA,5,0,8,4,9,0,0,2,2,2,"1,2,3,4,5",9,9,9,2,6,4,6,1,2,7,5,1,6,1,3,3,1,Rolleston,3,
9/15/2024 9:41:17,KL,1,7,8,1,4,6,1,2,2,2,"1,2,3",7,4,6,4,2,4,1,2,1,9,2,1,5,10 Latin American,4,3,1,City Center,1,0
9/15/2024 9:42:38,YA,1,3,8,1,1,4,1,2,2,2,"1,2,3,4",8,8,8,1,3,3,6,2,1,7,7,1,1,1,2,1,4,Fendelton,3,
9/15/2024 9:44:14,GO,4,0,7 prayer group,4,3,2,5,2,2,1,"1,2,3,4,5,6",6,6,5,1,6,4,"4,5 materials sent by friends",2,1,5,7,2,6,7,3,6,4,0,3,Talks on preparation for dying not only on sacraments; in the months leading up to dying; we hear of christians and non-christians seeing and hearing strange things; will there be a struggle between good and evil? what experiences can we accept or reject in our end times? thank you
9/15/2024 9:45:07,KL,1,7,8,1,6,6,6,2,2,2,"1,2,3,4",8,6,8,3,5,4,"1,2",1,1,9,2,2,3,10 Latin America ,4,3,1,City center,1,0
9/15/2024 9:45:41,YA,2,0,0,1,0,0,0,2,2,2,7,0,9,0,1,6,4,0,2,2,9,8,1,1,1,0,1,7 Retired,Riccarton,4,
9/15/2024 9:49:27,KL,2,0,8,1,9,9,9,2,2,2,"1,3,4,5",7,3,8,5,1,4,0,0,1,9,3,2,4,10 Latin American  ,3,3,2,Rolleston,1,0
9/15/2024 9:49:30,YA,0,0,0,1,0,0,0,2,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,2,9,2,0,0,0,3,
9/15/2024 9:51:21,YA,2,0,"1,3,4",6,9,9,9,2,1,2,"1,2,3,4,5",9,9,9,1,3,2,"1,2,3,4",1,1,9,7,1,5,1,4,5,1,Fendelton,3,
9/15/2024 9:53:49,KL,2,0,0,4,9,9,9,2,1,1,"1,2,3,4",9,6,9,1,3,4,6,1,0,9,5,2,"4,6",10 Ltin American,1,1,"3,5",Rolleston,1,0
9/15/2024 9:54:00,YA,2,0,2,5,1,9,6,1,2,2,"1,2,3,5",8,9,8,1,5,4,"1,4",2,1,8,6,2,1,1,4,3,1,Rolleston,3,
9/15/2024 9:54:38,BP,0,,"4,5",6,8,8,9,1,1,2,"2,3,4",7,7,8,1,2,1,4,1,2,5,1,1,3,"2,3,9",2,6,6,Riccarton,3,Thank you for the opportunities God Bless
9/15/2024 9:56:45,KL,3,0,4,4,9,9,9,1,1,1,"3,5",9,9,9,0,2,3,3,2,1,9,6,2,6,10 Colombian,4,4,1,Addington,1,0
